 	2016-06-02 12:35:56	Local7.Warning	10.246.64.12	2366: Jun  2 07:06:19.523: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi2/0/47 and port Gi4/0/47
2016-06-02 12:38:11	Local7.Warning	10.71.1.66	20660: Jun  2 07:08:34.066 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:38:12	Local3.Info	10.89.17.11	105776: Jun  2 07:08:34.773 UTC: %DOT11-6-DISASSOC: Interface Dot11Radio0, Deauthenticating Station e09d.3124.a25c Reason: Sending station has left the BSS
2016-06-02 12:38:12	Local3.Info	10.89.17.11	105777: Jun  2 07:08:35.727 UTC: %DOT11-6-ASSOC: Interface Dot11Radio0, Station   e09d.3124.a25c Associated KEY_MGMT[WPAv2]
2016-06-02 12:38:13	Local7.Notice	10.241.112.254	90: Jun  2 07:08:35.907: %BGP-5-ADJCHANGE: neighbor 10.241.112.253 Up
2016-06-02 12:38:14	Local7.Warning	10.97.250.6	68879: Jun  2 07:08:35.779 UTC: %EARL_NETFLOW-DFC1-4-TCAM_THRLD: Netflow TCAM threshold exceeded, TCAM Utilization [98%]
2016-06-02 12:38:14	Local7.Error	10.92.224.53	29574: Jun  2 07:08:36.840: %LINK-3-UPDOWN: Interface Serial0/0/1, changed state to down
2016-06-02 12:38:14	Local7.Notice	10.92.224.53	29575: Jun  2 07:08:37.840: %LINEPROTO-5-UPDOWN: Line protocol on Interface Serial0/0/1, changed state to down
2016-06-02 12:38:17	Local7.Notice	10.34.1.24	79134: Jun  2 07:08:39.775 UTC: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/30, changed state to down
2016-06-02 12:38:19	Local7.Notice	10.34.1.24	79135: Jun  2 07:08:41.809 UTC: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/30, changed state to up
2016-06-02 12:38:21	Local7.Error	10.240.16.11	80533: Jun  2 07:08:43.885: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/19, changed state to up
2016-06-02 12:38:21	Local7.Notice	10.240.16.11	80534: Jun  2 07:08:44.885: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/19, changed state to up
2016-06-02 12:38:27	Local7.Warning	10.37.1.23	300156: Jun  2 07:08:49.408: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/15 and port Gi3/0/23
2016-06-02 12:38:27	Local7.Warning	10.71.1.66	20661: Jun  2 07:08:50.063 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:38:27	Local7.Warning	10.246.64.12	2373: Jun  2 07:08:50.429: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi3/0/48 and port Gi1/0/47
2016-06-02 12:38:28	Local7.Notice	10.32.1.2	26959: 26w2d: %SFF8472-5-THRESHOLD_VIOLATION: Te1/15: Rx power low alarm; Operating value: -40.0 dBm, Threshold value: -12.4 dBm.
2016-06-02 12:38:29	Local7.Notice	10.34.1.39	49071: Jun  2 07:08:52.453 UTC: %SFF8472-5-THRESHOLD_VIOLATION: Gi1/0/49: Rx power high warning; Operating value:  -1.8 dBm, Threshold value:  -3.0 dBm.
2016-06-02 12:38:31	Local3.Info	10.89.17.11	105778: Jun  2 07:08:53.547 UTC: %DOT11-6-DISASSOC: Interface Dot11Radio0, Deauthenticating Station e09d.3124.a25c Reason: Sending station has left the BSS
2016-06-02 12:38:31	Local7.Warning	10.31.1.23	46452: Jun  2 06:39:40.314 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet1/0/34 (not full duplex), with north-bogota-ap2 GigabitEthernet0 (full duplex).
2016-06-02 12:38:31	Local7.Error	10.92.224.53	29576: Jun  2 07:08:54.572: %LINK-3-UPDOWN: Interface Serial0/0/1, changed state to up
2016-06-02 12:38:31	Local7.Notice	10.92.224.53	29577: Jun  2 07:08:55.572: %LINEPROTO-5-UPDOWN: Line protocol on Interface Serial0/0/1, changed state to up
2016-06-02 12:38:38	Local7.Warning	10.31.1.22	27221: Jun  2 07:09:00.633 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex).
2016-06-02 12:38:38	Local7.Warning	10.31.1.22	27222: Jun  2 07:09:00.619 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex). (NBogota-Stack-S2-3)
2016-06-02 12:38:39	Local7.Warning	10.97.250.2	59144: Jun  2 07:09:01.327 UTC: %EARL_NETFLOW-DFC1-4-TCAM_THRLD: Netflow TCAM threshold exceeded, TCAM Utilization [99%]
2016-06-02 12:38:40	Local7.Notice	10.250.2.133	216893: Jun  2 07:09:02.766 UTC: %SFF8472-5-THRESHOLD_VIOLATION: Gi1/0/3: Rx power high warning; Operating value:  -3.8 dBm, Threshold value:  -4.0 dBm.
2016-06-02 12:38:41	Local7.Warning	10.71.1.66	20662: Jun  2 07:09:04.080 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:38:43	Local7.Warning	10.37.1.23	300157: Jun  2 07:09:05.316: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/18 and port Gi3/0/15
2016-06-02 12:38:45	Local7.Warning	10.243.175.254	415729: Jun  2 12:39:07 IST: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on FastEthernet3/72 (not half duplex), with SEP08CC6831D18A Port 1 (half duplex).
2016-06-02 12:38:49	Local7.Warning	10.31.1.21	29406: Jun  2 07:09:11.688 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet4/0/2 (not full duplex), with north-bogota-ap4 GigabitEthernet0 (full duplex).
2016-06-02 12:38:49	Local7.Warning	10.31.1.21	29407: Jun  2 07:09:11.670 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet4/0/2 (not full duplex), with north-bogota-ap4 GigabitEthernet0 (full duplex). (NBogota-Stack-S1-4)
2016-06-02 12:38:55	Local7.Notice	10.98.1.62	27526: Jun  2 07:09:17.213: %SFF8472-5-THRESHOLD_VIOLATION: Gi5/0/49: Rx power high warning; Operating value:  -3.8 dBm, Threshold value:  -5.0 dBm. (SRG-A1-6F-Stack-S2-5)
2016-06-02 12:38:56	Local7.Notice	10.92.224.53	29578: Jun  2 07:09:19.344: %LINEPROTO-5-UPDOWN: Line protocol on Interface Serial0/0/1, changed state to down
